CODIGO_PRODUTO_FINAL;CODIGO_COMPONENTE;Tinta;Quantidade_Planejada;Estoque;Pedidos;Data_de_Entrega;Tempo_Calculado_Minutos
100510160015.0;206020180002.0;TINTA EM PO BRANCA;642;2770;3412;2024-04-17;14.815384615384616
100510160014.0;206020180002.0;TINTA EM PO BRANCA;256;3;259;2024-04-26;5.907692307692308
100010160038.0;206010180001.0;TINTA EM PO BRANCA;3266;3742;7008;2024-04-15;81.65
100010160052.0;304510180003.0;TINTA EM PO BRANCA;3410;888;4298;2024-04-14;31.0
100620160000.0;304510180003.0;TINTA EM PO BRANCA;1250;0;1250;2024-04-14;11.363636363636365
100010160038.0;304510180003.0;TINTA EM PO BRANCA;3266;3742;7008;2024-04-15;29.690909090909095
101340160001.0;304510180003.0;TINTA EM PO BRANCA;2000;0;2000;2024-04-17;18.181818181818183
100510160015.0;206020180003.0;TINTA EM PO BRANCA;642;2770;3412;2024-04-17;9.876923076923077
100010160038.0;206010180002.0;TINTA EM PO BRANCA;3266;3742;7008;2024-04-15;75.36923076923077
101340160001.0;206010180002.0;TINTA EM PO PRETA;2000;0;2000;2024-04-17;46.15384615384615
100620160000.0;206010180002.0;TINTA EM PO PRETA;1250;0;1250;2024-04-14;28.846153846153847
101360160001.0;207010180013.0;TINTA EM PO PRETA;665;0;665;2024-04-17;10.230769230769232
101250160008.0;207010180013.0;TINTA EM PO PRETA;177;15;192;2024-04-16;2.723076923076923
101340160001.0;206010180001.0;TINTA EM PO PRETA;2000;0;2000;2024-04-17;49.99999999999999
100620160000.0;206010180001.0;TINTA EM PO PRETA;1250;0;1250;2024-04-14;31.25
101360160001.0;207010180007.0;TINTA EM PO PRETA;665;0;665;2024-04-17;2.046153846153846
101360160001.0;207010180001.0;TINTA EM PO PRETA;665;0;665;2024-04-17;16.625
101360160001.0;207010180002.0;TINTA EM PO PRETA;665;0;665;2024-04-17;15.346153846153845
101360160001.0;207010180003.0;TINTA EM PO PRETA;665;0;665;2024-04-17;66.5
101360160001.0;207010180005.0;TINTA EM PO PRETA;665;0;665;2024-04-17;3.8000000000000003
101340160001.0;206010180009.0;TINTA EM PO PRETA;2000;0;2000;2024-04-17;112.5
100620160000.0;206010180009.0;TINTA EM PO PRETA;1250;0;1250;2024-04-14;70.3125
100010160038.0;206010180009.0;TINTA EM PO ROSA ESCURO;3266;3742;7008;2024-04-15;183.7125
101250160008.0;207010180003.0;TINTA EM PO LILAS - BANDEIRANTES;177;15;192;2024-04-16;17.7
100510160015.0;206020180001.0;TINTA EM PO AZUL ESCURO;642;2770;3412;2024-04-17;27.514285714285712
