;;;; 5.825 ;; 64.236 ; 27.989 ; 36.247 ; 163.552 ;;; -   ;;;; 65.139 ;;;;;;; 91.305 ;;;;;;; 117.252 ;;;;;;; 138.994 ;;;;;;; 163.552 ;;;;
;;;;Meta;Linha;Estoque;Pedidos;Saldo;Saldo Final;;;APONTAMENTO;;02/mai;Pedidos Semana 14;Saldo;05/mai;06/mai;07/mai;08/mai;09/mai;Pedidos Semana 15;Saldo;12/mai;13/mai;14/mai;15/mai;16/mai;Pedidos Semana 16;Saldo;19/mai;20/mai;21/mai;22/mai;23/mai;Pedidos Semana 17;Saldo;26/mai;27/mai;28/mai;29/mai;30/mai;Pedidos Semana 18;Saldo;;Previsão Produção;;
Maio;cálculo de % estoque bikes Nathor;;; 3.300 ;Aro 12; 12.086 ; 20.267 ;-8.181 ; 65.319 ;;; -   ; -   ; 3.500 ; 2.594 ; 12.992 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 3.715 ; 26.777 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 3.352 ; 40.925 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 6.552 ; 51.873 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 3.500 ; 4.054 ; 65.319 ;; 73.500 ;;
Aro 12; 46.915 ;;; 100 ;Aro 14; 3.777 ; 304 ; 3.473 ; 5.573 ;;; -   ; -   ; 100 ; -   ; 3.877 ; 100 ; 100 ; 100 ; 100 ; 100 ; -   ; 4.377 ; 100 ; 100 ; 100 ; 100 ; 100 ; 2 ; 4.875 ; 100 ; 100 ; 100 ; 100 ; 100 ; 302 ; 5.073 ; 100 ; 100 ; 100 ; 100 ; 100 ; -   ; 5.573 ;; 2.100 ;;
Aro 14; 5.486 ;;; 660 ;Aro 16; 15.114 ; 3.372 ; 11.742 ; 25.602 ;;; -   ; -   ; 660 ; 1.898 ; 13.876 ; 660 ; 660 ; 660 ; 660 ; 660 ; 125 ; 17.051 ; 660 ; 660 ; 660 ; 660 ; 660 ; 431 ; 19.920 ; 660 ; 660 ; 660 ; 660 ; 660 ; 722 ; 22.498 ; 660 ; 660 ; 660 ; 660 ; 660 ; 196 ; 25.602 ;; 13.860 ;;
Aro 16; 22.505 ;;; 200 ;Aro 20; 1.870 ; 1.286 ; 584 ; 4.584 ;;; -   ; -   ; 200 ; 614 ; 1.456 ; 200 ; 200 ; 200 ; 200 ; 200 ; 37 ; 2.419 ; 200 ; 200 ; 200 ; 200 ; 200 ; 246 ; 3.173 ; 150 ; 150 ; 150 ; 150 ; 200 ; 363 ; 3.610 ; 200 ; 200 ; 200 ; 200 ; 200 ; 26 ; 4.584 ;; 4.000 ;;
Aro 20; 4.593 ;;; -   ;Aro 24; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ;;
Aro 24; 59 ;;; 5 ;Aro 26; 12 ; 3 ; 9 ; 94 ;;; -   ; -   ; -   ; -   ; 12 ; -   ; -   ; -   ; 5 ; 5 ; -   ; 22 ; 5 ; 5 ; 5 ; 5 ; 5 ; -   ; 47 ; 5 ; 5 ; 5 ; 5 ; 5 ; -   ; 72 ; 5 ; 5 ; 5 ; 5 ; 5 ; 3 ; 94 ;; 85 ;;
Aro 26; 94 ;;; -   ;Aro 29; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ;;
Balance; 27.517 ;;; 650 ;Balance; 20.119 ; 1.038 ; 19.081 ; 32.831 ;;; -   ; -   ; 675 ; 20 ; 20.774 ; 675 ; 675 ; 675 ; 650 ; 650 ; 21 ; 24.078 ; 650 ; 650 ; 650 ; 650 ; 650 ; 10 ; 27.318 ; 650 ; 650 ; 650 ; 650 ; 650 ; 31 ; 30.537 ; 650 ; 650 ; 650 ; 650 ; 650 ; 956 ; 32.831 ;; 13.750 ;;
Triciclo; 26.915 ;;; 60 ;Capacete; 673 ; 201 ; 472 ; 2.632 ;;; -   ; -   ; 120 ; 16 ; 777 ; 120 ; 120 ; 120 ; 120 ; 120 ; 100 ; 1.277 ; 120 ; 120 ; 120 ; 120 ; 120 ; 16 ; 1.861 ; 120 ; 120 ; 120 ; 120 ; 120 ; 69 ; 2.392 ; 120 ; 120 ; -   ; -   ; -   ; -   ; 2.632 ;; 2.160 ;;
Capacete; 2.732 ;;; 850 ;Triciclo; 10.585 ; 1.518 ; 9.067 ; 26.917 ;;; -   ; -   ; 850 ; 60 ; 11.375 ; 850 ; 850 ; 850 ; 850 ; 850 ; 321 ; 15.304 ; 850 ; 850 ; 850 ; 850 ; 850 ; 421 ; 19.133 ; 850 ; 850 ; 850 ; 850 ; 850 ; 444 ; 22.939 ; 850 ; 850 ; 850 ; 850 ; 850 ; 272 ; 26.917 ;; 17.850 ;;
;;;;;; 64.236 ; 27.989 ; 36.247 ; 163.552 ;;;;;;; 65.139 ;;;;;;; 91.305 ;;;;;;; 117.252 ;;;;;;; 138.994 ;;;;;;; 163.552 ;;;;
Linha;Descricao Familia;Codigo Produto;Compl. 1;Compl. 2;Descricao Produto;Estoque;Pedidos;Saldo; Saldo Final ;%historico;%real;APONTAMENTO;;02/mai;Pedidos Semana 14;Saldo;05/mai;06/mai;07/mai;08/mai;09/mai;Pedidos Semana 15;Saldo;12/mai;13/mai;14/mai;15/mai;16/mai;Pedidos Semana 16;Saldo;19/mai;20/mai;21/mai;22/mai;23/mai;Pedidos Semana 17;Saldo;26/mai;27/mai;28/mai;29/mai;30/mai;Pedidos Semana 18;Saldo;;Previsão Produção;;
Aro 12;BICICLETA NATHOR ARO 12;100010160051; ; ;BICICLETA ARO 12 ANTONELLA BABY ROSA 02;0; -   ; -   ; -   ;;0,00%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;0;
Aro 12;BICICLETA NATHOR ARO 12;100010160026;;;BICICLETA ARO 12 AQUA 2;0; -   ; -   ; -   ;;0,00%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;0;
Aro 12;BICICLETA ABSOLUTE ARO 12;100780160000;;;BICICLETA ARO 12 ABSOLUTE KIDS DINO;0; -   ; -   ; -   ;;0,00%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;0;
Aro 12;BICICLETA ABSOLUTE ARO 12;100780160001;;;BICICLETA ARO 12 ABSOLUTE KIDS UNIC;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;0;
Aro 12;BICICLETA ABSOLUTE ARO 12;100780160002;;;BICICLETA ARO 12 ABSOLUTE KIDS TUBA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;0;
