;;;; 6.035 ;; 95.579 ; 22.108 ; 73.471 ; 96.581 ;;; 1.080 ;;;; 96.659 ;;;;;;; 96.659 ;;;;;;; 96.659 ;;;;;;; 96.659 ;;;;;;; 96.581 ;;;;
;;;;Meta;Linha;Estoque;Pedidos;Saldo;Saldo Final;;;APONTAMENTO;;02/mai;Pedidos Semana 18;Saldo;05/mai;06/mai;07/mai;08/mai;09/mai;Pedidos Semana 19;Saldo;12/mai;13/mai;14/mai;15/mai;16/mai;Pedidos Semana 20;Saldo;19/mai;20/mai;21/mai;22/mai;23/mai;Pedidos Semana 21;Saldo;26/mai;27/mai;28/mai;29/mai;30/mai;Pedidos Semana 22;Saldo;;Previsão Produção;;
Maio;cálculo de % estoque bikes Nathor;;; 3.500 ;Aro 12; 38.951 ; 14.985 ; 23.966 ; 37.117 ;;; -   ; -   ; -   ; -   ; 38.951 ; -   ; -   ; -   ; -   ; -   ; -   ; 38.951 ; -   ; -   ; -   ; -   ; -   ; -   ; 38.951 ; -   ; -   ; -   ; -   ; -   ; -   ; 38.951 ; -   ; 3.251 ; 3.300 ; 3.300 ; 3.300 ; 14.985 ; 37.117 ;; 13.151 ;;
Aro 12; 28.497 ;;; 50 ;Aro 14; 4.219 ; 914 ; 3.305 ; 3.505 ;;; -   ; -   ; -   ; -   ; 4.219 ; -   ; -   ; -   ; -   ; -   ; -   ; 4.219 ; -   ; -   ; -   ; -   ; -   ; -   ; 4.219 ; -   ; -   ; -   ; -   ; -   ; -   ; 4.219 ; 50 ; 50 ; 50 ; 50 ; -   ; 914 ; 3.505 ;; 200 ;;
Aro 14; 3.648 ;;; 660 ;Aro 16; 15.437 ; 2.328 ; 13.109 ; 16.039 ;;; -   ; -   ; -   ; -   ; 15.437 ; -   ; -   ; -   ; -   ; -   ; -   ; 15.437 ; -   ; -   ; -   ; -   ; -   ; -   ; 15.437 ; -   ; -   ; -   ; -   ; -   ; -   ; 15.437 ; 610 ; 500 ; 500 ; 660 ; 660 ; 2.328 ; 16.039 ;; 2.930 ;;
Aro 16; 13.843 ;;; 200 ;Aro 20; 2.032 ; 867 ; 1.165 ; 1.813 ;;; 54 ; -   ; -   ; -   ; 2.086 ; -   ; -   ; -   ; -   ; -   ; -   ; 2.086 ; -   ; -   ; -   ; -   ; -   ; -   ; 2.086 ; -   ; -   ; -   ; -   ; -   ; -   ; 2.086 ; 19 ; 125 ; 150 ; 150 ; 150 ; 867 ; 1.813 ;; 648 ;;
Aro 20; 1.537 ;;; -   ;Aro 24; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ;;
Aro 24; 8 ;;; 5 ;Aro 26; 21 ; 18 ; 3 ; 3 ;;; -   ; -   ; -   ; -   ; 21 ; -   ; -   ; -   ; -   ; -   ; -   ; 21 ; -   ; -   ; -   ; -   ; -   ; -   ; 21 ; -   ; -   ; -   ; -   ; -   ; -   ; 21 ; -   ; -   ; -   ; -   ; -   ; 18 ; 3 ;; -   ;;
Aro 26; 3 ;;; -   ;Aro 29; -   ; -   ; -   ; -   ;;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ;;
Balance; 21.265 ;;; 650 ;Balance; 22.243 ; 1.785 ; 20.458 ; 22.419 ;;; 106 ; -   ; -   ; -   ; 22.349 ; -   ; -   ; -   ; -   ; -   ; -   ; 22.349 ; -   ; -   ; -   ; -   ; -   ; -   ; 22.349 ; -   ; -   ; -   ; -   ; -   ; -   ; 22.349 ; -   ; 155 ; 575 ; 575 ; 550 ; 1.785 ; 22.419 ;; 1.961 ;;
