Programação Maio - Revisão 04;;;;;;;;;;;
Bicicletas aro 12 ;;;;Bicicletas aro 14;;;;Bicicletas aro 16;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;
02/mai;3.500;CAT;;02/mai;50;MASCULINA 4;;02/mai;660;EXTREME;
05/mai;3.500;VIOLET;;05/mai;50;MASCULINA 4;;05/mai;660;UNICORN NATHOR;
06/mai;3.500;STITCH;;06/mai;50;MASCULINA 4;;06/mai;660;PIXIE;
07/mai;3.500;SPIDER MAN;;07/mai;50;MASCULINA 4;;07/mai;660;SPIDER MAN;
08/mai;3.500;PRINCESAS;;08/mai;50;MASCULINA 4;;08/mai;660;SPIDER MAN;
09/mai;3.500;FLOWER;;09/mai;50;MASCULINA 4;;09/mai;660;APOLLO;
12/mai;3.500;FLOWER;;12/mai;50;MASCULINA 4;;12/mai;660;TECH BOYS;
13/mai;3.500;VELOZ;;13/mai;50;UNICORN;;13/mai;660;TECH BOYS;
14/mai;3.500;VELOZ;;14/mai;50;UNICORN;;14/mai;660;HOT WHEELS;
15/mai;3.500;MECHANIC;;15/mai;50;UNICORN;;15/mai;245;EXTREME;
16/mai;1.750;MINNIE;;16/mai;50;UNICORN;;;415;INFANTI LARANJA;
;1.750;MICKEY;;19/mai;50;UNICORN;;16/mai;415;INFANTI ROSA;
19/mai;3.500;BLACK;;20/mai;50;UNICORN;;;245;TOP GIRLS;
20/mai;2.250;BLACK;;21/mai;50;FEMININA;;19/mai;660;LADY;
;1.250;INFANTI PT/VD;;22/mai;50;FEMININA;;20/mai;660;HOT WHEELS;
21/mai;3.500;HOT WHEELS;;23/mai;50;FEMININA;;21/mai;660;UNICORN NATHOR;
22/mai;3.500;PETS;;26/mai;50;FEMININA;;22/mai;250;BTWIN AMARELA;
23/mai;1.250;INFANTI RS/VD;;27/mai;50;MASCULINA 4;;;200;BTWIN PRATA/VERMELHA;
;2.250;CHARM;;28/mai;50;MASCULINA 4;;23/mai;100;ROBOT;
26/mai;3.500;SPIDER MAN;;29/mai;50;MASCULINA 4;;;450;HOMEM DE FERRO;
27/mai;3.500;FLOWER;;30/mai;50;MASCULINA 4;;26/mai;660;PRINCESAS;
28/mai;3.500;FLOWER;;;;;;27/mai;660;BARBIE;
29/mai;3.500;FIREMAN;;;;;;28/mai;660;CAPITAO AMERICA;
30/mai;3.500;BLACK;;;;;;29/mai;660;TOP GIRLS;
;;;;;;;;30/mai;660;TECH BOYS;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Programação Maio - Revisão 04;;;;;;;;;;;
Bicicletas aro 20;;;;Bicicletas Balance;;;;Triciclo;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;
02/mai;200;APOLLO;;02/mai;650;MASCULINA;;02/mai;850;BOY;
05/mai;200;APOLLO;;05/mai;650;MASCULINA;;05/mai;850;BOY;
06/mai;200;HOT WHEELS;;06/mai;650;MASCULINA;;06/mai;850;BOY;
07/mai;200;BOLT;;07/mai;650;CALOI VERMELHA;;07/mai;850;BOY;
08/mai;200;BELLA;;08/mai;650;CALOI VERMELHA;;08/mai;850;BOY;
09/mai;200;BELLA;;09/mai;650;FAST;;09/mai;850;BOY;
12/mai;200;BELLA;;12/mai;650;FAST;;12/mai;850;BOY;
13/mai;200;BARBIE;;13/mai;650;MASCULINA;;13/mai;850;BOY;
14/mai;200;LOVELY;;14/mai;650;MASCULINA;;14/mai;850;GIRL;
15/mai;200;LOVELY;;15/mai;650;MASCULINA;;15/mai;850;GIRL;
16/mai;150;ANTONELLA ROSA;;16/mai;650;MASCULINA;;16/mai;850;GIRL;
19/mai;150;ANTONELLA VERDE;;19/mai;650;LOVE;;19/mai;850;GIRL;
20/mai;100;ORIGINAL 500;;20/mai;650;LOVE;;20/mai;850;GIRL;
;50;MISTIGIRL;;21/mai;650;FEMININA;;21/mai;850;GIRL;
21/mai;50;MISTIGIRL;;22/mai;650;FEMININA;;22/mai;850;GIRL;
;150;ORIGINAL 120 ROSA;;23/mai;650;FEMININA;;23/mai;850;GIRL;
22/mai;50;ORIGINAL 120 ROSA;;26/mai;650;ROCKET ASTRO;;26/mai;850;KIDS 5;
;150;BELLA 03 (ADESIVO NOVO);;27/mai;650;CALOI VERMELHA;;27/mai;850;KIDS 5;
23/mai;200;BARBIE;;28/mai;650;FAST;;28/mai;850;PRINCESAS;
26/mai;200;LOVELY;;29/mai;650;SPIDER MAN;;29/mai;850;SPIDER MAN;
27/mai;200;HOT WHEELS;;30/mai;650;PRINCESAS;;30/mai;850;HONEY BEE;
28/mai;100;RACING BOYS;;;;;;;;;
;100;APOLLO;;;;;;;;;
29/mai;200;APOLLO;;;;;;;;;
30/mai;200;APOLLO;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Programação Maio - Revisão 04;;;;;;;;;;;
CAPACETE;;;;Bicicletas aro 26;;;;;;;
Data Planejada;Qtd. Planej;Descrição;;Data Planejada;Qtd. Planej;Descrição;;;;;
02/mai;100;POLIPLAC VERMELHO;;02/mai;25;RAIADA ROSA;;;;;
;20;PRINCESAS;;05/mai;25;RAIADA ROSA;;;;;
05/mai;120;PRINCESAS;;06/mai;25;RAIADA AZUL;;;;;
06/mai;120;AZUL;;07/mai;25;RAIADA AZUL;;;;;
07/mai;120;MINNIE;;08/mai;5;PEROLA;;;;;
08/mai;120;STITCH;;09/mai;5;PEROLA;;;;;
09/mai;120;TURQUEZA;;12/mai;5;PEROLA;;;;;
