CODIGO_PRODUTO;Complemento;DESCRICAO_PRODUTO;CODIGO_COMPONENTE;Complemento_Componente;DESCRICAO_COMPONENTE
100010160035;   ;BICICLETA ARO 12 BLACK 12 4 ;206010180001;0001  ;PINTURA GARFO DIANTEIRO ARO 12 PRETO 
100010160035;   ;BICICLETA ARO 12 BLACK 12 4 ;206010180002;0001  ;PINTURA GUIDAO ARO 12 PRETO 
100010160035;   ;BICICLETA ARO 12 BLACK 12 4 ;206010180009;0001  ;PINTURA QUADRO ARO 12 MOD02 PRETO 
100010160035;   ;BICICLETA ARO 12 BLACK 12 4 ;304510180003;0002  ;PINTURA PEDIVELA BRANCO 
100010160035;   ;BICICLETA ARO 12 BLACK 12 4 ;504010130001;   ;TINTA EM PO BRANCA 
100010160035;   ;BICICLETA ARO 12 BLACK 12 4 ;504010130007;   ;TINTA EM PO PRETA 
100010160038;   ;BICICLETA ARO 12 FLOWER 11 ;206010180001;0002  ;PINTURA GARFO DIANTEIRO ARO 12 BRANCO 
100010160038;   ;BICICLETA ARO 12 FLOWER 11 ;206010180002;0002  ;PINTURA GUIDAO ARO 12 BRANCO 
100010160038;   ;BICICLETA ARO 12 FLOWER 11 ;206010180009;0013  ;PINTURA QUADRO ARO 12 MOD02 ROSA ESCU RO 
100010160038;   ;BICICLETA ARO 12 FLOWER 11 ;304510180003;0002  ;PINTURA PEDIVELA BRANCO 
100010160038;   ;BICICLETA ARO 12 FLOWER 11 ;504010130001;   ;TINTA EM PO BRANCA 
100010160038;   ;BICICLETA ARO 12 FLOWER 11 ;504010130002;   ;TINTA EM PO ROSA ESCURO 
100010160039;   ;BICICLETA ARO 12 CAT 01 SELIM PU ;206010180001;0007  ;PINTURA GARFO DIANTEIRO ARO 12 ROSA CLA R 
100010160039;   ;BICICLETA ARO 12 CAT 01 SELIM PU ;206010180002;0007  ;PINTURA GUIDAO ARO 12 ROSA CLARO 
100010160039;   ;BICICLETA ARO 12 CAT 01 SELIM PU ;206010180009;0007  ;PINTURA QUADRO ARO 12 MOD02 ROSA CLAR O 
100010160039;   ;BICICLETA ARO 12 CAT 01 SELIM PU ;304510180003;0002  ;PINTURA PEDIVELA BRANCO 
100010160039;   ;BICICLETA ARO 12 CAT 01 SELIM PU ;504010130001;   ;TINTA EM PO BRANCA 
100010160039;   ;BICICLETA ARO 12 CAT 01 SELIM PU ;504010130015;   ;TINTA EM PO ROSA CLARO 
100010160040;   ;BICICLETA ARO 12 VELOZ 2 ;206010180001;0046  ;PINTURA GARFO DIANTEIRO ARO 12 AZUL FLE X 
100010160040;   ;BICICLETA ARO 12 VELOZ 2 ;206010180002;0046  ;PINTURA GUIDAO ARO 12 AZUL FLEX 
100010160040;   ;BICICLETA ARO 12 VELOZ 2 ;206010180009;0046  ;PINTURA QUADRO ARO 12 MOD02 AZUL FLEX 
100010160040;   ;BICICLETA ARO 12 VELOZ 2 ;304510180003;0002  ;PINTURA PEDIVELA BRANCO 
100010160040;   ;BICICLETA ARO 12 VELOZ 2 ;504010130001;   ;TINTA EM PO BRANCA 
100010160040;   ;BICICLETA ARO 12 VELOZ 2 ;504010130027;   ;TINTA EM PO AZUL BRILHANTE FLEX 
100010160047;   ;BICICLETA ARO 12 MECHANIC ;206010180001;0001  ;PINTURA GARFO DIANTEIRO ARO 12 PRETO 
100010160047;   ;BICICLETA ARO 12 MECHANIC ;206010180002;0001  ;PINTURA GUIDAO ARO 12 PRETO 
100010160047;   ;BICICLETA ARO 12 MECHANIC ;206010180009;0001  ;PINTURA QUADRO ARO 12 MOD02 PRETO 
100010160047;   ;BICICLETA ARO 12 MECHANIC ;304510180003;0002  ;PINTURA PEDIVELA BRANCO 
100010160047;   ;BICICLETA ARO 12 MECHANIC ;504010130001;   ;TINTA EM PO BRANCA 
100010160047;   ;BICICLETA ARO 12 MECHANIC ;504010130007;   ;TINTA EM PO PRETA 
100010160048;   ;BICICLETA ARO 12 MOTOR X ;206010180001;0001  ;PINTURA GARFO DIANTEIRO ARO 12 PRETO 
100010160048;   ;BICICLETA ARO 12 MOTOR X ;206010180002;0001  ;PINTURA GUIDAO ARO 12 PRETO 
100010160048;   ;BICICLETA ARO 12 MOTOR X ;206010180009;0004  ;PINTURA QUADRO ARO 12 MOD02 VERMELHO 
100010160048;   ;BICICLETA ARO 12 MOTOR X ;304510180003;0002  ;PINTURA PEDIVELA BRANCO 
